match,p1_model,p2_model,winner,turns,p1_score,p2_score,p1_obj_count,p2_obj_count,p1_place,p2_place,p1_draw,p2_draw,p1_complete,p2_complete,p1_complete_scored,p2_complete_scored,p1_pts_series,p2_pts_series,p1_pts_parallel,p2_pts_parallel,p1_pts_mixed,p2_pts_mixed,p1_pts_bridge,p2_pts_bridge,p1_pts_cap,p2_pts_cap,p1_invalid,p2_invalid,p1_api_ok,p2_api_ok,p1_api_total,p2_api_total,p1_fallbacks,p2_fallbacks,p1_verify_fails,p2_verify_fails,voided,void_reason,elapsed
1,llama3.3:70b,qwen3:32b,P2,13,135,145,4,4,9,9,1,5,4,4,4,4,0,0,0,0,0,0,0,0,135,145,0,0,0,0,0,0,1,0,0,0,0,,104.85169172286987
2,llama3.3:70b,qwen3:32b,P2,13,95,105,3,3,8,9,7,6,3,3,3,3,0,0,0,0,0,0,0,0,95,105,0,0,0,0,0,0,0,0,0,0,0,,25.281453609466553
3,llama3.3:70b,qwen3:32b,P2,13,130,140,4,4,8,8,0,0,4,4,4,4,0,0,0,0,0,0,0,0,130,140,0,0,0,0,0,0,0,0,0,0,0,,30.54932713508606
4,llama3.3:70b,qwen3:32b,P1,13,135,105,4,3,8,9,1,6,4,3,4,3,0,0,0,0,0,0,0,0,135,105,0,0,0,0,0,0,0,0,0,0,0,,28.63190793991089
5,llama3.3:70b,qwen3:32b,P1,13,130,105,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,130,105,0,0,0,0,0,0,0,0,0,0,0,,30.58956742286682
6,llama3.3:70b,qwen3:32b,P1,13,125,110,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,125,110,0,0,0,0,0,0,0,0,0,0,0,,32.51430916786194
7,llama3.3:70b,qwen3:32b,Draw,13,140,140,4,4,9,9,2,0,4,4,4,4,0,0,0,0,0,0,0,0,140,140,0,0,0,0,0,0,0,1,0,0,0,,31.9668185710907
8,llama3.3:70b,qwen3:32b,P2,13,120,160,4,4,8,10,0,3,4,4,4,4,0,0,0,0,0,0,0,0,120,160,0,0,0,0,0,0,0,0,0,0,0,,28.46062922477722
9,llama3.3:70b,qwen3:32b,P2,13,130,140,4,4,8,9,1,0,4,4,4,4,0,0,0,0,0,0,0,0,130,140,0,0,0,0,0,0,0,1,0,0,0,,33.77454376220703
10,llama3.3:70b,qwen3:32b,P2,13,95,115,3,3,6,9,9,6,3,3,3,3,0,0,0,0,0,0,0,0,95,115,0,0,0,0,0,0,0,0,0,0,0,,25.494327068328857
11,llama3.3:70b,qwen3:32b,P1,13,130,110,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,130,110,0,0,0,0,0,0,0,0,0,0,0,,27.84260654449463
12,llama3.3:70b,qwen3:32b,P2,13,120,145,4,4,8,9,0,3,4,4,4,4,0,0,0,0,0,0,0,0,120,145,0,0,0,0,0,0,0,0,0,0,0,,31.41495943069458
13,llama3.3:70b,qwen3:32b,P1,13,120,115,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,120,115,0,0,0,0,0,0,0,0,0,0,0,,29.378397226333618
14,llama3.3:70b,qwen3:32b,P1,13,130,110,4,3,8,9,1,6,4,3,4,3,0,0,0,0,0,0,0,0,130,110,0,0,0,0,0,0,0,0,0,0,0,,30.840352296829224
15,llama3.3:70b,qwen3:32b,P1,13,140,110,4,3,9,9,1,6,4,3,4,3,0,0,0,0,0,0,0,0,140,110,0,0,0,0,0,0,0,0,0,0,0,,28.22062039375305
16,llama3.3:70b,qwen3:32b,P1,13,135,95,4,3,9,8,1,7,4,3,4,3,0,0,0,0,0,0,0,0,135,95,0,0,0,0,0,0,0,0,0,0,0,,28.071954488754272
17,llama3.3:70b,qwen3:32b,P2,13,130,140,4,4,8,9,0,5,4,4,4,4,0,0,0,0,0,0,0,0,130,140,0,0,0,0,0,0,0,0,0,0,0,,30.025257110595703
18,llama3.3:70b,qwen3:32b,P1,13,125,110,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,125,110,0,0,0,0,0,0,0,0,0,0,0,,29.993539333343506
