match,p1_model,p2_model,winner,turns,p1_score,p2_score,p1_obj_count,p2_obj_count,p1_place,p2_place,p1_draw,p2_draw,p1_complete,p2_complete,p1_complete_scored,p2_complete_scored,p1_pts_series,p2_pts_series,p1_pts_parallel,p2_pts_parallel,p1_pts_mixed,p2_pts_mixed,p1_pts_bridge,p2_pts_bridge,p1_pts_cap,p2_pts_cap,p1_invalid,p2_invalid,p1_api_ok,p2_api_ok,p1_api_total,p2_api_total,p1_fallbacks,p2_fallbacks,p1_verify_fails,p2_verify_fails,voided,void_reason,elapsed
74,mixtral:latest,mixtral:latest,P1,13,140,35,4,1,9,4,0,13,4,1,4,1,0,0,0,0,0,0,0,0,140,35,0,0,0,0,0,0,5,1,0,0,0,,13.349368810653687
75,mixtral:latest,mixtral:latest,Draw,13,110,110,3,3,9,9,6,6,3,3,3,3,0,0,0,0,0,0,0,0,110,110,0,0,0,0,0,0,4,4,0,0,0,,14.316358804702759
76,mixtral:latest,mixtral:latest,P2,13,100,140,3,4,8,9,7,5,3,4,3,4,0,0,0,0,0,0,0,0,100,140,0,0,0,0,0,0,3,4,0,0,0,,14.719441652297974
77,mixtral:latest,mixtral:latest,P1,13,140,30,4,1,9,4,1,13,4,1,4,1,0,0,0,0,0,0,0,0,140,30,0,0,0,0,0,0,5,1,0,0,0,,11.277531385421753
78,mixtral:latest,mixtral:latest,P1,13,130,30,4,1,9,4,0,13,4,1,4,1,0,0,0,0,0,0,0,0,130,30,0,0,0,0,0,0,5,1,0,0,0,,9.143830299377441
79,mixtral:latest,mixtral:latest,P2,13,65,140,2,4,6,8,10,1,2,4,2,4,0,0,0,0,0,0,0,0,65,140,0,0,0,0,0,0,2,3,0,0,0,,12.179422616958618
80,mixtral:latest,mixtral:latest,P1,13,65,35,2,1,6,4,10,13,2,1,2,1,0,0,0,0,0,0,0,0,65,35,0,0,0,0,0,0,1,1,0,0,0,,6.640088081359863
81,mixtral:latest,mixtral:latest,P1,13,90,35,3,1,8,4,7,13,3,1,3,1,0,0,0,0,0,0,0,0,90,35,0,0,0,0,0,0,3,1,0,0,0,,9.318115711212158
82,mixtral:latest,mixtral:latest,P2,13,65,70,2,2,6,6,10,10,2,2,2,2,0,0,0,0,0,0,0,0,65,70,0,0,0,0,0,0,2,2,0,0,0,,9.37355375289917
83,mixtral:latest,mixtral:latest,P1,13,95,65,3,2,8,6,7,10,3,2,3,2,0,0,0,0,0,0,0,0,95,65,0,0,0,0,0,0,3,2,0,0,0,,11.479731321334839
84,mixtral:latest,mixtral:latest,P1,13,95,35,3,1,8,4,7,13,3,1,3,1,0,0,0,0,0,0,0,0,95,35,0,0,0,0,0,0,2,1,0,0,0,,8.64811372756958
