match,p1_model,p2_model,winner,turns,p1_score,p2_score,p1_obj_count,p2_obj_count,p1_place,p2_place,p1_draw,p2_draw,p1_complete,p2_complete,p1_complete_scored,p2_complete_scored,p1_pts_series,p2_pts_series,p1_pts_parallel,p2_pts_parallel,p1_pts_mixed,p2_pts_mixed,p1_pts_bridge,p2_pts_bridge,p1_pts_cap,p2_pts_cap,p1_invalid,p2_invalid,p1_api_ok,p2_api_ok,p1_api_total,p2_api_total,p1_fallbacks,p2_fallbacks,p1_verify_fails,p2_verify_fails,voided,void_reason,elapsed
1,llama3.3:70b,qwen3:32b,P1,13,135,115,4,3,9,9,0,6,4,3,4,3,60,40,30,30,45,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,103.76196694374084
2,llama3.3:70b,qwen3:32b,P1,13,150,140,4,4,9,9,1,0,4,4,4,4,70,35,35,60,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,32.27954697608948
3,llama3.3:70b,qwen3:32b,P1,13,140,120,4,3,9,9,0,6,4,3,4,3,65,40,30,35,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,28.57065987586975
4,llama3.3:70b,qwen3:32b,P1,13,135,110,4,3,8,9,0,6,4,3,4,3,70,35,65,30,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,31.910101890563965
5,llama3.3:70b,qwen3:32b,P1,13,150,105,4,3,9,9,0,6,4,3,4,3,75,0,30,105,45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,32.94664216041565
6,llama3.3:70b,qwen3:32b,P1,13,135,110,4,3,10,9,4,6,4,3,4,3,40,65,95,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,27.74037480354309
7,llama3.3:70b,qwen3:32b,P2,13,150,185,4,5,9,8,1,0,4,5,4,5,40,65,65,30,45,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,33.92250442504883
8,llama3.3:70b,qwen3:32b,P2,13,135,160,4,4,9,10,0,2,4,4,4,4,60,40,30,75,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,26.757041931152344
9,llama3.3:70b,qwen3:32b,P1,13,130,115,4,3,10,9,4,6,4,3,4,3,40,35,90,35,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,29.81149959564209
10,llama3.3:70b,qwen3:32b,P1,13,130,115,4,3,8,9,0,6,4,3,4,3,65,40,65,30,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,31.75378918647766
11,llama3.3:70b,qwen3:32b,P1,13,135,105,4,3,8,9,0,6,4,3,4,3,70,65,65,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,28.13202404975891
12,llama3.3:70b,qwen3:32b,P1,13,140,120,4,3,9,9,0,6,4,3,4,3,30,75,65,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,29.172821760177612
13,llama3.3:70b,qwen3:32b,P2,13,135,155,4,4,9,9,0,5,4,4,4,4,30,75,60,35,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,29.167550563812256
14,llama3.3:70b,qwen3:32b,P1,13,150,105,4,3,9,9,0,6,4,3,4,3,75,30,30,30,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,28.912559986114502
15,llama3.3:70b,qwen3:32b,P1,13,185,110,5,3,9,9,0,6,4,3,4,3,95,0,0,65,90,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,28.85426354408264
16,llama3.3:70b,qwen3:32b,P1,13,140,105,4,3,8,9,1,6,4,3,4,3,105,0,35,60,0,45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,33.03972792625427
17,llama3.3:70b,qwen3:32b,P1,13,150,110,4,3,9,9,0,6,4,3,4,3,70,35,35,30,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,31.177024841308594
18,llama3.3:70b,qwen3:32b,P2,13,140,145,4,4,9,9,0,0,4,4,4,4,95,40,0,60,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,30.41642665863037
19,llama3.3:70b,qwen3:32b,P2,13,130,145,4,4,10,8,4,0,4,4,4,4,35,70,95,30,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,29.64837098121643
20,llama3.3:70b,qwen3:32b,P1,13,125,120,4,3,8,9,0,6,4,3,4,3,65,40,60,35,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,29.770673274993896
21,llama3.3:70b,qwen3:32b,P1,13,130,110,4,3,8,9,0,6,4,3,4,3,100,35,30,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,28.627222537994385
22,llama3.3:70b,qwen3:32b,P1,13,145,115,4,3,9,9,1,6,4,3,4,3,35,40,65,30,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,30.944546461105347
23,llama3.3:70b,qwen3:32b,P1,13,140,120,4,3,9,9,0,6,4,3,4,3,30,75,65,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,28.310462951660156
24,llama3.3:70b,qwen3:32b,P1,13,150,110,4,3,9,9,0,6,4,3,4,3,105,0,0,65,45,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,32.98141694068909
25,llama3.3:70b,qwen3:32b,P1,13,125,115,4,3,8,9,0,6,4,3,4,3,65,70,60,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,30.410634517669678
26,llama3.3:70b,qwen3:32b,P2,13,135,185,4,5,8,9,0,0,4,4,4,4,105,30,30,65,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,30.011783123016357
27,llama3.3:70b,qwen3:32b,P1,13,145,110,4,3,9,9,1,6,4,3,4,3,65,40,35,70,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,28.306199312210083
28,llama3.3:70b,qwen3:32b,P1,13,150,110,4,3,9,9,0,6,4,3,4,3,105,0,0,65,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,28.366543769836426
29,llama3.3:70b,qwen3:32b,Draw,13,145,145,4,4,9,9,0,0,4,4,4,4,70,35,30,65,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,32.73132586479187
30,llama3.3:70b,qwen3:32b,P1,13,135,65,4,2,8,6,0,10,4,2,4,2,70,35,65,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,27.316850662231445
31,llama3.3:70b,qwen3:32b,P2,13,130,145,4,4,8,9,0,0,4,4,4,4,65,70,65,30,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,30.245417833328247
32,llama3.3:70b,qwen3:32b,P1,13,145,115,4,3,9,9,1,6,4,3,4,3,65,40,35,30,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,29.008838176727295
33,llama3.3:70b,qwen3:32b,P1,13,150,105,4,3,9,9,0,6,4,3,4,3,105,0,0,105,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,28.085952281951904
34,llama3.3:70b,qwen3:32b,P2,13,140,150,4,4,9,9,0,0,4,4,4,4,65,40,30,65,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,33.68793225288391
35,llama3.3:70b,qwen3:32b,P2,13,125,150,4,4,8,9,0,0,4,4,4,4,95,40,30,65,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,29.634732484817505
36,llama3.3:70b,qwen3:32b,P1,13,140,120,4,3,9,9,0,6,4,3,4,3,65,40,30,35,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,26.968717575073242
37,llama3.3:70b,qwen3:32b,P1,13,150,140,4,4,9,9,0,5,4,4,4,4,75,30,30,65,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,28.686888217926025
38,llama3.3:70b,qwen3:32b,P1,13,150,135,4,4,9,10,1,4,4,4,4,4,105,30,0,60,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,27.4754376411438
39,llama3.3:70b,qwen3:32b,P2,13,140,140,4,4,9,10,0,4,4,4,4,4,30,70,65,70,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,28.781225204467773
40,llama3.3:70b,qwen3:32b,P1,13,140,115,4,3,9,9,0,6,4,3,4,3,65,40,30,30,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,27.919414520263672
41,llama3.3:70b,qwen3:32b,P2,13,150,180,4,5,9,9,1,0,4,4,4,4,105,30,0,60,45,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,30.337802410125732
42,llama3.3:70b,qwen3:32b,P1,13,150,105,4,3,9,9,0,6,4,3,4,3,105,0,0,60,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,27.99578619003296
43,llama3.3:70b,qwen3:32b,P1,13,145,115,4,3,9,9,0,6,4,3,4,3,70,35,30,35,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,29.987357139587402
