match,p1_model,p2_model,winner,turns,p1_score,p2_score,p1_obj_count,p2_obj_count,p1_place,p2_place,p1_draw,p2_draw,p1_complete,p2_complete,p1_complete_scored,p2_complete_scored,p1_pts_series,p2_pts_series,p1_pts_parallel,p2_pts_parallel,p1_pts_mixed,p2_pts_mixed,p1_pts_bridge,p2_pts_bridge,p1_pts_cap,p2_pts_cap,p1_invalid,p2_invalid,p1_api_ok,p2_api_ok,p1_api_total,p2_api_total,p1_fallbacks,p2_fallbacks,p1_verify_fails,p2_verify_fails,voided,void_reason,elapsed
1,qwen3:32b,mixtral:latest,P1,13,155,30,4,1,9,4,3,13,4,1,4,1,75,30,35,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,58.19817042350769
2,qwen3:32b,mixtral:latest,P1,13,150,30,4,1,9,4,1,13,4,1,4,1,40,0,65,30,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,13.232054710388184
3,qwen3:32b,mixtral:latest,P1,13,145,40,4,1,9,4,0,13,4,1,4,1,65,40,35,0,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,14.701329231262207
4,qwen3:32b,mixtral:latest,P1,13,130,30,4,1,10,4,4,13,4,1,4,1,35,30,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,13.583147525787354
5,qwen3:32b,mixtral:latest,P1,13,150,35,4,1,9,4,0,13,4,1,4,1,40,35,65,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,13.357971668243408
6,qwen3:32b,mixtral:latest,P1,13,140,40,4,1,9,4,0,13,4,1,4,1,30,40,65,0,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,15.934714555740356
7,qwen3:32b,mixtral:latest,P1,13,110,75,3,2,9,6,6,10,3,2,3,2,35,40,30,35,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,12.754473447799683
8,qwen3:32b,mixtral:latest,P1,13,145,30,4,1,9,4,0,13,4,1,4,1,40,0,60,30,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,13.630386114120483
9,qwen3:32b,mixtral:latest,P1,13,145,60,4,2,9,6,0,10,4,2,4,2,105,0,40,60,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,14.439780473709106
10,qwen3:32b,mixtral:latest,P1,13,150,30,4,1,9,4,1,13,4,1,4,1,75,0,30,30,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,15.132260799407959
11,qwen3:32b,mixtral:latest,P1,13,150,30,4,1,9,4,3,13,4,1,4,1,75,30,30,0,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,11.324376344680786
12,qwen3:32b,mixtral:latest,P1,13,145,30,4,1,9,4,0,13,4,1,4,1,70,0,30,30,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,14.7488534450531
13,qwen3:32b,mixtral:latest,P1,13,145,35,4,1,11,4,3,13,4,1,4,1,40,35,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12.636574983596802
14,qwen3:32b,mixtral:latest,P1,13,135,40,4,1,10,4,4,13,4,1,4,1,0,40,90,0,45,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,16.02376365661621
15,qwen3:32b,mixtral:latest,P1,13,150,35,4,1,9,4,0,13,4,1,4,1,70,35,35,0,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,13.96146821975708
16,qwen3:32b,mixtral:latest,P1,13,105,70,3,2,9,6,6,10,3,2,3,2,0,35,60,35,45,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,13.48235559463501
17,qwen3:32b,mixtral:latest,P1,13,145,65,4,2,9,6,0,10,4,2,4,2,70,35,30,30,45,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,16.397425889968872
18,qwen3:32b,mixtral:latest,P1,13,150,60,4,2,9,6,1,10,4,2,4,2,75,30,30,30,45,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,17.448007822036743
19,qwen3:32b,mixtral:latest,P1,13,110,60,3,2,8,6,7,10,3,2,3,2,75,0,35,60,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,14.852987289428711
20,qwen3:32b,mixtral:latest,P1,13,155,60,4,2,9,6,1,10,4,2,4,2,75,0,35,60,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,15.537026166915894
21,qwen3:32b,mixtral:latest,P1,13,190,40,5,1,9,4,0,13,5,1,5,1,65,40,35,0,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,13.182739973068237
22,qwen3:32b,mixtral:latest,P1,13,145,30,4,1,9,4,1,13,4,1,4,1,35,0,65,30,45,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,17.108876705169678
23,qwen3:32b,mixtral:latest,P1,13,150,30,4,1,9,4,0,13,4,1,4,1,75,30,30,0,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,14.009034395217896
24,qwen3:32b,mixtral:latest,P1,13,150,30,4,1,9,4,0,13,4,1,4,1,105,0,0,30,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,13.50905966758728
25,qwen3:32b,mixtral:latest,P1,13,100,40,3,1,8,4,7,13,3,1,3,1,35,40,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,11.943203687667847
26,qwen3:32b,mixtral:latest,P1,13,135,65,4,2,8,6,2,10,4,2,4,2,75,30,60,35,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,16.105607509613037
