match,p1_model,p2_model,winner,turns,p1_score,p2_score,p1_obj_count,p2_obj_count,p1_place,p2_place,p1_draw,p2_draw,p1_complete,p2_complete,p1_complete_scored,p2_complete_scored,p1_pts_series,p2_pts_series,p1_pts_parallel,p2_pts_parallel,p1_pts_mixed,p2_pts_mixed,p1_pts_bridge,p2_pts_bridge,p1_pts_cap,p2_pts_cap,p1_invalid,p2_invalid,p1_api_ok,p2_api_ok,p1_api_total,p2_api_total,p1_fallbacks,p2_fallbacks,p1_verify_fails,p2_verify_fails,voided,void_reason,elapsed
1,qwen3:32b,mixtral:latest,P1,13,140,35,4,1,9,4,0,13,4,1,4,1,0,0,0,0,0,0,0,0,140,35,0,0,0,0,0,0,5,1,0,0,0,,36.97666263580322
2,qwen3:32b,mixtral:latest,P1,13,100,35,3,1,8,4,7,13,3,1,3,1,0,0,0,0,0,0,0,0,100,35,0,0,0,0,0,0,4,1,0,0,0,,23.526878356933594
3,qwen3:32b,mixtral:latest,P1,13,135,30,4,1,9,4,0,13,4,1,4,1,0,0,0,0,0,0,0,0,135,30,0,0,0,0,0,0,5,0,0,0,0,,27.4463791847229
4,qwen3:32b,mixtral:latest,P1,13,115,110,3,3,9,9,6,6,3,3,3,3,0,0,0,0,0,0,0,0,115,110,0,0,0,0,0,0,4,4,0,0,0,,28.382168292999268
5,qwen3:32b,mixtral:latest,P2,13,110,115,3,3,9,9,6,6,3,3,3,3,0,0,0,0,0,0,0,0,110,115,0,0,0,0,0,0,4,3,0,0,0,,27.702933073043823
6,qwen3:32b,mixtral:latest,P1,13,135,35,4,1,9,4,0,13,4,1,4,1,0,0,0,0,0,0,0,0,135,35,0,0,0,0,0,0,5,1,0,0,0,,28.680443286895752
7,qwen3:32b,mixtral:latest,P1,13,135,30,4,1,9,4,5,13,4,1,4,1,0,0,0,0,0,0,0,0,135,30,0,0,0,0,0,0,4,1,0,0,0,,23.326607942581177
8,qwen3:32b,mixtral:latest,P2,13,115,135,3,4,9,8,6,0,3,4,3,4,0,0,0,0,0,0,0,0,115,135,0,0,0,0,0,0,4,4,0,0,0,,27.27234411239624
9,qwen3:32b,mixtral:latest,P2,13,110,150,3,4,9,10,6,2,3,4,3,4,0,0,0,0,0,0,0,0,110,150,0,0,0,0,0,0,4,4,0,0,0,,27.978891611099243
10,qwen3:32b,mixtral:latest,P1,13,105,30,3,1,8,4,7,13,3,1,3,1,0,0,0,0,0,0,0,0,105,30,0,0,0,0,0,0,4,1,0,0,0,,23.30586528778076
11,qwen3:32b,mixtral:latest,P1,13,140,35,4,1,9,4,0,13,4,1,4,1,0,0,0,0,0,0,0,0,140,35,0,0,0,0,0,0,5,1,0,0,0,,28.63243007659912
12,qwen3:32b,mixtral:latest,P1,13,185,155,5,4,11,10,0,3,5,4,5,4,0,0,0,0,0,0,0,0,185,155,0,0,0,0,0,0,4,4,0,0,0,,28.854965209960938
