match,p1_model,p2_model,winner,turns,p1_score,p2_score,p1_obj_count,p2_obj_count,p1_place,p2_place,p1_draw,p2_draw,p1_complete,p2_complete,p1_complete_scored,p2_complete_scored,p1_pts_series,p2_pts_series,p1_pts_parallel,p2_pts_parallel,p1_pts_mixed,p2_pts_mixed,p1_pts_bridge,p2_pts_bridge,p1_pts_cap,p2_pts_cap,p1_invalid,p2_invalid,p1_api_ok,p2_api_ok,p1_api_total,p2_api_total,p1_fallbacks,p2_fallbacks,p1_verify_fails,p2_verify_fails,voided,void_reason,elapsed
1,qwen3:32b,qwen3:32b,P2,13,100,105,3,3,8,8,7,7,3,3,3,3,0,0,0,0,0,0,0,0,100,105,0,0,0,0,0,0,4,4,0,0,0,,45.22864079475403
2,qwen3:32b,qwen3:32b,P2,13,105,110,3,3,9,9,6,6,3,3,3,3,0,0,0,0,0,0,0,0,105,110,0,0,0,0,0,0,4,4,0,0,0,,41.06851935386658
3,qwen3:32b,qwen3:32b,P2,13,115,135,3,4,9,8,6,0,3,4,3,4,0,0,0,0,0,0,0,0,115,135,0,0,0,0,0,0,4,4,0,0,0,,41.07205009460449
4,qwen3:32b,qwen3:32b,P2,13,100,160,3,4,9,10,6,2,3,4,3,4,0,0,0,0,0,0,0,0,100,160,0,0,0,0,0,0,4,4,0,0,0,,41.11167669296265
5,qwen3:32b,qwen3:32b,P1,13,140,115,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,140,115,0,0,0,0,0,0,4,4,0,0,0,,41.06862187385559
6,qwen3:32b,qwen3:32b,P1,13,135,110,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,135,110,0,0,0,0,0,0,4,4,0,0,0,,41.0902259349823
7,qwen3:32b,qwen3:32b,P1,13,140,110,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,140,110,0,0,0,0,0,0,4,4,0,0,0,,41.0648307800293
8,qwen3:32b,qwen3:32b,P2,13,100,145,3,4,8,11,7,3,3,4,3,4,0,0,0,0,0,0,0,0,100,145,0,0,0,0,0,0,4,4,0,0,0,,41.11557126045227
9,qwen3:32b,qwen3:32b,P1,13,140,115,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,140,115,0,0,0,0,0,0,4,4,0,0,0,,41.08978867530823
10,qwen3:32b,qwen3:32b,P2,13,110,140,3,4,9,9,6,5,3,4,3,4,0,0,0,0,0,0,0,0,110,140,0,0,0,0,0,0,4,4,0,0,0,,41.05361795425415
11,qwen3:32b,qwen3:32b,Draw,13,110,110,3,3,9,9,6,6,3,3,3,3,0,0,0,0,0,0,0,0,110,110,0,0,0,0,0,0,4,4,0,0,0,,41.09282898902893
12,qwen3:32b,qwen3:32b,P1,13,150,100,4,3,10,8,2,7,4,3,4,3,0,0,0,0,0,0,0,0,150,100,0,0,0,0,0,0,4,4,0,0,0,,41.116682052612305
13,qwen3:32b,qwen3:32b,P2,13,110,115,3,3,9,9,6,6,3,3,3,3,0,0,0,0,0,0,0,0,110,115,0,0,0,0,0,0,4,4,0,0,0,,41.10671782493591
14,qwen3:32b,qwen3:32b,P2,13,105,145,3,4,9,9,6,5,3,4,3,4,0,0,0,0,0,0,0,0,105,145,0,0,0,0,0,0,4,4,0,0,0,,41.103445291519165
15,qwen3:32b,qwen3:32b,P2,13,105,115,3,3,8,9,7,6,3,3,3,3,0,0,0,0,0,0,0,0,105,115,0,0,0,0,0,0,4,4,0,0,0,,41.10664391517639
16,qwen3:32b,qwen3:32b,P2,13,110,140,3,4,9,8,6,0,3,4,3,4,0,0,0,0,0,0,0,0,110,140,0,0,0,0,0,0,4,4,0,0,0,,41.08769774436951
17,qwen3:32b,qwen3:32b,P1,13,140,110,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,140,110,0,0,0,0,0,0,4,4,0,0,0,,41.08287453651428
18,qwen3:32b,qwen3:32b,P1,13,150,110,4,3,10,9,2,6,4,3,4,3,0,0,0,0,0,0,0,0,150,110,0,0,0,0,0,0,4,4,0,0,0,,41.09572887420654
19,qwen3:32b,qwen3:32b,P1,13,155,130,4,4,10,8,2,0,4,4,4,4,0,0,0,0,0,0,0,0,155,130,0,0,0,0,0,0,4,4,0,0,0,,41.10719037055969
20,qwen3:32b,qwen3:32b,P1,13,135,105,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,135,105,0,0,0,0,0,0,4,4,0,0,0,,41.07838821411133
21,qwen3:32b,qwen3:32b,P1,13,115,105,3,3,9,9,6,6,3,3,3,3,0,0,0,0,0,0,0,0,115,105,0,0,0,0,0,0,4,4,0,0,0,,41.08150672912598
22,qwen3:32b,qwen3:32b,P2,13,105,155,3,4,9,10,6,3,3,4,3,4,0,0,0,0,0,0,0,0,105,155,0,0,0,0,0,0,4,4,0,0,0,,41.124531269073486
23,qwen3:32b,qwen3:32b,P1,13,115,100,3,3,9,9,6,6,3,3,3,3,0,0,0,0,0,0,0,0,115,100,0,0,0,0,0,0,4,4,0,0,0,,41.0819091796875
24,qwen3:32b,qwen3:32b,P2,13,115,135,3,4,9,8,6,0,3,4,3,4,0,0,0,0,0,0,0,0,115,135,0,0,0,0,0,0,4,4,0,0,0,,41.09640979766846
25,qwen3:32b,qwen3:32b,P1,13,140,110,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,140,110,0,0,0,0,0,0,4,4,0,0,0,,41.380231618881226
26,qwen3:32b,qwen3:32b,P2,13,100,115,3,3,9,9,6,6,3,3,3,3,0,0,0,0,0,0,0,0,100,115,0,0,0,0,0,0,4,4,0,0,0,,41.07842397689819
27,qwen3:32b,qwen3:32b,P2,13,110,115,3,3,9,9,6,6,3,3,3,3,0,0,0,0,0,0,0,0,110,115,0,0,0,0,0,0,4,4,0,0,0,,41.08841872215271
28,qwen3:32b,qwen3:32b,P1,13,155,95,4,3,10,9,2,6,4,3,4,3,0,0,0,0,0,0,0,0,155,95,0,0,0,0,0,0,4,4,0,0,0,,41.053138971328735
29,qwen3:32b,qwen3:32b,P2,13,110,135,3,4,9,8,6,0,3,4,3,4,0,0,0,0,0,0,0,0,110,135,0,0,0,0,0,0,4,4,0,0,0,,41.07433009147644
30,qwen3:32b,qwen3:32b,P2,13,105,105,3,3,8,9,7,6,3,3,3,3,0,0,0,0,0,0,0,0,105,105,0,0,0,0,0,0,4,4,0,0,0,,41.11173391342163
31,qwen3:32b,qwen3:32b,P1,13,140,115,4,3,9,9,5,6,4,3,4,3,0,0,0,0,0,0,0,0,140,115,0,0,0,0,0,0,4,4,0,0,0,,41.065544843673706
32,qwen3:32b,qwen3:32b,Draw,13,105,105,3,3,9,9,6,6,3,3,3,3,0,0,0,0,0,0,0,0,105,105,0,0,0,0,0,0,4,4,0,0,0,,41.04820418357849
33,qwen3:32b,qwen3:32b,P2,13,105,110,3,3,9,9,6,6,3,3,3,3,0,0,0,0,0,0,0,0,105,110,0,0,0,0,0,0,4,4,0,0,0,,41.047778606414795
34,qwen3:32b,qwen3:32b,P2,13,100,105,3,3,8,8,7,7,3,3,3,3,0,0,0,0,0,0,0,0,100,105,0,0,0,0,0,0,4,4,0,0,0,,41.091357707977295
35,qwen3:32b,qwen3:32b,P1,13,115,100,3,3,9,9,6,6,3,3,3,3,0,0,0,0,0,0,0,0,115,100,0,0,0,0,0,0,4,4,0,0,0,,41.071181535720825
36,qwen3:32b,qwen3:32b,P1,13,110,105,3,3,9,9,6,6,3,3,3,3,0,0,0,0,0,0,0,0,110,105,0,0,0,0,0,0,4,4,0,0,0,,41.060001850128174
37,qwen3:32b,qwen3:32b,P1,13,115,105,3,3,9,9,6,6,3,3,3,3,0,0,0,0,0,0,0,0,115,105,0,0,0,0,0,0,4,4,0,0,0,,41.07489991188049
38,qwen3:32b,qwen3:32b,P1,13,130,115,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,130,115,0,0,0,0,0,0,4,4,0,0,0,,41.077589988708496
39,qwen3:32b,qwen3:32b,P1,13,135,105,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,135,105,0,0,0,0,0,0,4,4,0,0,0,,41.09690523147583
40,qwen3:32b,qwen3:32b,P1,13,110,105,3,3,9,8,6,7,3,3,3,3,0,0,0,0,0,0,0,0,110,105,0,0,0,0,0,0,4,4,0,0,0,,41.08819389343262
41,qwen3:32b,qwen3:32b,P1,13,150,100,4,3,10,9,4,6,4,3,4,3,0,0,0,0,0,0,0,0,150,100,0,0,0,0,0,0,5,4,0,0,0,,46.2335467338562
42,qwen3:32b,qwen3:32b,Draw,13,110,110,3,3,9,9,6,6,3,3,3,3,0,0,0,0,0,0,0,0,110,110,0,0,0,0,0,0,4,4,0,0,0,,41.07815885543823
43,qwen3:32b,qwen3:32b,P2,13,105,190,3,5,9,11,6,1,3,5,3,5,0,0,0,0,0,0,0,0,105,190,0,0,0,0,0,0,4,4,0,0,0,,41.078784465789795
44,qwen3:32b,qwen3:32b,P2,13,105,115,3,3,9,9,6,6,3,3,3,3,0,0,0,0,0,0,0,0,105,115,0,0,0,0,0,0,4,4,0,0,0,,41.075709104537964
45,qwen3:32b,qwen3:32b,P1,13,140,105,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,140,105,0,0,0,0,0,0,4,4,0,0,0,,41.08349418640137
46,qwen3:32b,qwen3:32b,P2,13,115,140,3,4,9,8,6,0,3,4,3,4,0,0,0,0,0,0,0,0,115,140,0,0,0,0,0,0,4,4,0,0,0,,41.05561923980713
47,qwen3:32b,qwen3:32b,Draw,13,110,110,3,3,9,9,6,6,3,3,3,3,0,0,0,0,0,0,0,0,110,110,0,0,0,0,0,0,4,4,0,0,0,,41.0804169178009
48,qwen3:32b,qwen3:32b,P2,13,105,115,3,3,9,9,6,6,3,3,3,3,0,0,0,0,0,0,0,0,105,115,0,0,0,0,0,0,4,4,0,0,0,,41.08355736732483
