match,p1_model,p2_model,winner,turns,p1_score,p2_score,p1_obj_count,p2_obj_count,p1_place,p2_place,p1_draw,p2_draw,p1_complete,p2_complete,p1_complete_scored,p2_complete_scored,p1_pts_series,p2_pts_series,p1_pts_parallel,p2_pts_parallel,p1_pts_mixed,p2_pts_mixed,p1_pts_bridge,p2_pts_bridge,p1_pts_cap,p2_pts_cap,p1_invalid,p2_invalid,p1_api_ok,p2_api_ok,p1_api_total,p2_api_total,p1_fallbacks,p2_fallbacks,p1_verify_fails,p2_verify_fails,voided,void_reason,elapsed
47,mixtral:latest,mixtral:latest,P2,13,30,105,1,3,4,7,13,8,1,3,1,3,0,75,30,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,6.989407539367676
48,mixtral:latest,mixtral:latest,P2,13,35,135,1,4,4,8,13,6,1,4,1,4,35,30,0,60,0,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,5.9386351108551025
49,mixtral:latest,mixtral:latest,P1,13,65,40,2,1,6,4,10,13,2,1,2,1,35,40,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,5.363701820373535
50,mixtral:latest,mixtral:latest,P1,13,145,40,4,1,9,4,0,13,4,1,4,1,65,40,35,0,45,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,,10.524811506271362
51,mixtral:latest,mixtral:latest,P2,13,40,60,1,2,4,6,13,10,1,2,1,2,40,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,6.82136344909668
52,mixtral:latest,mixtral:latest,P1,13,65,40,2,1,6,4,10,13,2,1,2,1,0,40,65,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,,8.003060340881348
53,mixtral:latest,mixtral:latest,P2,13,75,90,2,3,6,8,10,7,2,3,2,3,75,60,0,30,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,,8.939335346221924
54,mixtral:latest,mixtral:latest,P2,13,65,75,2,2,6,6,10,10,2,2,2,2,65,40,0,35,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,,10.126346111297607
55,mixtral:latest,mixtral:latest,P2,13,65,145,2,4,6,9,10,5,2,4,2,4,0,105,65,40,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,,9.404788255691528
56,mixtral:latest,mixtral:latest,P2,13,35,70,1,2,4,6,13,10,1,2,1,2,35,40,0,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,6.016258239746094
