match,p1_model,p2_model,winner,turns,p1_score,p2_score,p1_obj_count,p2_obj_count,p1_place,p2_place,p1_draw,p2_draw,p1_complete,p2_complete,p1_complete_scored,p2_complete_scored,p1_pts_series,p2_pts_series,p1_pts_parallel,p2_pts_parallel,p1_pts_mixed,p2_pts_mixed,p1_pts_bridge,p2_pts_bridge,p1_pts_cap,p2_pts_cap,p1_invalid,p2_invalid,p1_api_ok,p2_api_ok,p1_api_total,p2_api_total,p1_fallbacks,p2_fallbacks,p1_verify_fails,p2_verify_fails,voided,void_reason,elapsed
66,qwen3:32b,qwen3:32b,P1,13,160,110,4,3,10,9,2,6,4,3,4,3,40,65,75,0,45,45,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,,40.78523015975952
67,qwen3:32b,qwen3:32b,Draw,13,115,115,3,3,9,9,6,6,3,3,3,3,35,70,35,0,45,45,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,,40.76760268211365
68,qwen3:32b,qwen3:32b,P1,13,120,105,3,3,9,9,6,6,3,3,3,3,40,60,35,0,45,45,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,,40.76777195930481
69,qwen3:32b,qwen3:32b,P1,13,190,155,5,4,9,10,0,2,4,4,4,4,70,35,30,75,90,45,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,,45.89717149734497
70,qwen3:32b,qwen3:32b,P1,13,120,110,3,3,9,9,6,6,3,3,3,3,75,30,0,35,45,45,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,,40.763930320739746
71,qwen3:32b,qwen3:32b,Draw,13,115,115,3,3,9,9,6,6,3,3,3,3,70,35,0,35,45,45,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,,40.74783182144165
72,qwen3:32b,qwen3:32b,P2,13,110,115,3,3,9,9,6,6,3,3,3,3,35,70,75,0,0,45,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,,40.78349590301514
73,qwen3:32b,qwen3:32b,P2,13,110,115,3,3,9,9,6,6,3,3,3,3,35,40,75,30,0,45,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,,40.803553342819214
74,qwen3:32b,qwen3:32b,P2,13,110,120,3,3,9,9,6,6,3,3,3,3,30,75,35,0,45,45,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,,40.78293561935425
75,qwen3:32b,qwen3:32b,P2,13,110,120,3,3,9,9,6,6,3,3,3,3,35,40,30,35,45,45,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,,41.05589151382446
76,qwen3:32b,qwen3:32b,P2,13,105,120,3,3,9,9,6,6,3,3,3,3,30,40,30,35,45,45,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,,40.77201819419861
77,qwen3:32b,qwen3:32b,P1,13,120,110,3,3,9,9,6,6,3,3,3,3,75,30,0,35,45,45,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,,40.785964250564575
78,qwen3:32b,qwen3:32b,P2,13,110,120,3,3,9,9,6,6,3,3,3,3,65,40,0,35,45,45,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,,40.759437084198
79,qwen3:32b,qwen3:32b,P1,13,120,105,3,3,9,9,6,6,3,3,3,3,75,0,0,60,45,45,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,,40.78466987609863
80,qwen3:32b,qwen3:32b,P2,13,100,120,3,3,9,7,6,8,3,3,3,3,0,75,100,0,0,45,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,,40.84489727020264
81,qwen3:32b,qwen3:32b,P1,13,185,120,5,3,9,9,0,6,4,3,4,3,30,75,65,0,90,45,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,,45.853264570236206
82,qwen3:32b,qwen3:32b,Draw,13,115,115,3,3,9,9,6,6,3,3,3,3,35,40,35,30,45,45,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,,40.755452156066895
83,qwen3:32b,qwen3:32b,Draw,13,115,115,3,3,9,9,6,6,3,3,3,3,35,70,35,0,45,45,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,,40.77102208137512
84,qwen3:32b,qwen3:32b,P1,13,185,120,5,3,9,9,0,6,4,3,4,3,30,75,65,0,90,45,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,,45.87048125267029
85,qwen3:32b,qwen3:32b,P2,13,110,120,3,3,9,9,6,6,3,3,3,3,30,75,35,0,45,45,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,,40.76738119125366
86,qwen3:32b,qwen3:32b,P1,13,120,110,3,3,9,9,6,6,3,3,3,3,75,0,0,65,45,45,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,,40.74384880065918
87,qwen3:32b,qwen3:32b,P1,13,120,110,3,3,9,9,6,6,3,3,3,3,40,65,35,0,45,45,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,,40.76835107803345
88,qwen3:32b,qwen3:32b,P1,13,160,110,4,3,10,9,2,6,4,3,4,3,35,40,35,70,90,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,,40.800414085388184
89,qwen3:32b,qwen3:32b,P1,13,120,110,3,3,9,9,6,6,3,3,3,3,75,30,0,35,45,45,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,,40.75911283493042
90,qwen3:32b,qwen3:32b,P1,13,120,105,3,3,9,9,6,6,3,3,3,3,75,0,0,60,45,45,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,,40.74636244773865
91,qwen3:32b,qwen3:32b,P1,13,120,110,3,3,9,9,6,6,3,3,3,3,40,65,35,0,45,45,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,,40.75683259963989
92,qwen3:32b,qwen3:32b,P2,13,105,195,3,5,9,9,6,0,3,4,3,4,0,70,60,35,45,90,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,,45.83039116859436
93,qwen3:32b,qwen3:32b,P1,13,120,110,3,3,9,9,6,6,3,3,3,3,40,35,35,30,45,45,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,,40.7593731880188
94,qwen3:32b,qwen3:32b,P2,13,110,120,3,3,9,9,6,6,3,3,3,3,30,75,35,0,45,45,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,,40.75091862678528
95,qwen3:32b,qwen3:32b,P2,13,110,115,3,3,9,9,6,6,3,3,3,3,0,75,65,40,45,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,,40.76669907569885
96,qwen3:32b,qwen3:32b,P2,13,120,185,3,5,9,9,6,0,3,4,3,4,75,30,0,65,45,90,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,,45.86404037475586
97,qwen3:32b,qwen3:32b,Draw,13,115,115,3,3,9,9,6,6,3,3,3,3,35,40,35,30,45,45,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,,40.73548078536987
98,qwen3:32b,qwen3:32b,P2,13,105,120,3,3,9,9,6,6,3,3,3,3,0,75,60,0,45,45,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,,40.756070137023926
99,qwen3:32b,qwen3:32b,P1,13,120,110,3,3,9,9,6,6,3,3,3,3,75,0,0,65,45,45,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,,40.78454613685608
100,qwen3:32b,qwen3:32b,Draw,13,115,115,3,3,9,9,6,6,3,3,3,3,35,40,35,30,45,45,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,,40.77232527732849
